laptop_timestamp,timestamp_ms,temp_c,humidity_pct,mq2_adc,flame_state,dht_ok,label,experiment,phase
2026-09-11T18:28:14.611,3353855,28.00,71.00,191,0,1,normal,flame_test,baseline
2026-09-11T18:28:17.095,3356363,27.90,71.00,192,0,1,normal,flame_test,baseline
2026-09-11T18:28:19.579,3358872,28.00,70.90,191,0,1,normal,flame_test,baseline
2026-09-11T18:28:22.063,3361381,28.00,71.00,188,0,1,normal,flame_test,baseline
2026-09-11T18:28:24.548,3363890,28.00,70.90,190,0,1,normal,flame_test,baseline
2026-09-11T18:28:27.033,3366399,27.90,71.10,191,0,1,normal,flame_test,baseline
2026-09-11T18:28:29.517,3368908,27.90,70.90,192,0,1,normal,flame_test,baseline
2026-09-11T18:28:32.001,3371417,28.00,71.00,193,0,1,normal,flame_test,baseline
2026-09-11T18:28:34.485,3373925,28.00,70.90,192,0,1,normal,flame_test,baseline
2026-09-11T18:28:36.969,3376434,28.00,70.90,193,0,1,normal,flame_test,baseline
2026-09-11T18:28:39.453,3378943,27.90,70.90,193,0,1,normal,flame_test,baseline
2026-09-11T18:28:41.938,3381452,27.90,71.10,195,0,1,normal,flame_test,baseline
2026-09-11T18:28:44.422,3383961,27.90,71.00,196,0,1,normal,flame_test,baseline
2026-09-11T18:28:46.907,3386470,28.00,71.10,196,0,1,normal,flame_test,baseline
2026-09-11T18:28:49.391,3388979,28.00,71.10,193,0,1,normal,flame_test,baseline
2026-09-11T18:28:51.875,3391487,28.00,71.00,193,0,1,normal,flame_test,baseline
2026-09-11T18:28:54.359,3393996,27.90,71.10,192,0,1,normal,flame_test,baseline
2026-09-11T18:28:56.843,3396505,27.90,71.10,192,0,1,normal,flame_test,baseline
2026-09-11T18:28:59.328,3399014,27.90,71.00,196,0,1,normal,flame_test,baseline
2026-09-11T18:29:01.812,3401523,27.90,71.10,197,0,1,normal,flame_test,baseline
2026-09-11T18:29:04.296,3404032,27.90,71.20,192,0,1,normal,flame_test,baseline
2026-09-11T18:29:06.780,3406541,27.90,71.00,195,0,1,normal,flame_test,baseline
2026-09-11T18:29:09.265,3409050,27.90,71.00,190,0,1,normal,flame_test,baseline
2026-09-11T18:29:11.749,3411558,27.90,71.00,191,0,1,normal,flame_test,baseline
2026-09-11T18:29:14.233,3414067,27.90,70.90,194,0,1,normal,flame_test,baseline
2026-09-11T18:29:16.718,3416576,27.90,71.00,194,0,1,normal,flame_test,baseline
2026-09-11T18:29:19.201,3419085,27.90,70.90,196,0,1,normal,flame_test,baseline
2026-09-11T18:29:21.686,3421594,27.90,71.10,197,0,1,normal,flame_test,baseline
2026-09-11T18:29:24.170,3424103,27.90,71.20,198,0,1,normal,flame_test,baseline
2026-09-11T18:29:26.639,3426612,27.90,71.30,199,0,1,normal,flame_test,baseline
2026-09-11T18:29:29.123,3429121,27.80,71.20,204,0,1,normal,flame_test,baseline
2026-09-11T18:29:31.608,3431630,27.90,71.20,208,0,1,normal,flame_test,baseline
2026-09-11T18:29:34.092,3434139,28.00,71.20,207,0,1,normal,flame_test,baseline
2026-09-11T18:29:36.576,3436647,27.90,71.30,215,0,1,normal,flame_test,baseline
2026-09-11T18:29:39.060,3439156,27.90,71.30,202,0,1,normal,flame_test,baseline
2026-09-11T18:29:41.545,3441665,27.90,71.40,195,0,1,normal,flame_test,baseline
2026-09-11T18:29:44.029,3444174,28.00,71.70,197,0,1,normal,flame_test,baseline
2026-09-11T18:29:46.513,3446683,28.00,71.20,195,0,1,normal,flame_test,baseline
2026-09-11T18:29:48.998,3449192,28.00,71.20,197,0,1,normal,flame_test,baseline
2026-09-11T18:29:51.481,3451701,28.10,71.00,194,0,1,normal,flame_test,baseline
2026-09-11T18:29:53.966,3454209,28.00,71.00,192,0,1,normal,flame_test,baseline
2026-09-11T18:29:56.451,3456718,28.00,70.80,190,0,1,normal,flame_test,baseline
2026-09-11T18:29:58.935,3459227,28.10,71.10,190,0,1,normal,flame_test,baseline
2026-09-11T18:30:01.419,3461736,28.10,70.90,191,0,1,normal,flame_test,baseline
2026-09-11T18:30:03.903,3464245,28.00,70.90,187,0,1,normal,flame_test,baseline
2026-09-11T18:30:06.387,3466754,28.10,70.90,189,0,1,normal,flame_test,baseline
2026-09-11T18:30:08.872,3469263,28.10,71.00,187,0,1,normal,flame_test,baseline
2026-09-11T18:30:11.356,3471771,28.10,70.80,187,0,1,normal,flame_test,baseline
2026-09-11T18:30:13.840,3474280,28.10,71.00,183,0,1,normal,flame_test,baseline
2026-09-11T18:30:16.325,3476789,28.20,71.00,185,0,1,normal,flame_test,baseline
2026-09-11T18:30:18.809,3479298,28.20,71.00,185,0,1,normal,flame_test,baseline
2026-09-11T18:30:21.293,3481807,28.20,70.90,212,0,1,normal,flame_test,baseline
2026-09-11T18:30:23.777,3484316,28.10,70.80,208,0,1,normal,flame_test,baseline
2026-09-11T18:30:26.261,3486824,28.20,70.80,208,0,1,normal,flame_test,baseline
2026-09-11T18:30:28.745,3489333,28.20,70.90,208,0,1,normal,flame_test,baseline
2026-09-11T18:30:31.230,3491842,28.20,71.00,214,0,1,normal,flame_test,baseline
2026-09-11T18:30:33.714,3494351,28.20,70.70,214,0,1,normal,flame_test,baseline
2026-09-11T18:30:36.199,3496860,28.20,70.70,215,0,1,normal,flame_test,baseline
2026-09-11T18:30:38.683,3499369,28.20,70.60,214,0,1,normal,flame_test,baseline
2026-09-11T18:30:41.167,3501878,28.20,70.60,214,0,1,normal,flame_test,baseline
2026-09-11T18:30:43.651,3504387,28.30,70.50,212,0,1,normal,flame_test,baseline
2026-09-11T18:30:46.136,3506895,28.20,70.80,213,0,1,normal,flame_test,baseline
2026-09-11T18:30:48.620,3509404,28.20,70.60,211,0,1,normal,flame_test,baseline
2026-09-11T18:30:51.104,3511913,28.20,70.50,212,0,1,normal,flame_test,baseline
2026-09-11T18:30:53.588,3514422,28.20,70.50,212,0,1,normal,flame_test,baseline
2026-09-11T18:30:56.073,3516931,28.20,70.50,211,0,1,normal,flame_test,baseline
2026-09-11T18:30:58.557,3519440,28.20,70.40,212,0,1,normal,flame_test,baseline
2026-09-11T18:31:01.041,3521949,28.20,70.40,210,0,1,normal,flame_test,baseline
2026-09-11T18:31:03.525,3524458,28.20,70.50,210,0,1,normal,flame_test,baseline
2026-09-11T18:31:06.010,3526966,28.30,70.70,209,0,1,normal,flame_test,baseline
2026-09-11T18:31:08.494,3529475,28.20,70.50,212,0,1,normal,flame_test,baseline
2026-09-11T18:31:10.978,3531984,28.20,70.30,213,0,1,normal,flame_test,baseline
2026-09-11T18:31:13.463,3534493,28.30,70.40,212,0,1,normal,flame_test,baseline
2026-09-11T18:31:15.947,3537002,28.20,70.30,206,0,1,normal,flame_test,baseline
2026-09-11T18:31:18.431,3539511,28.20,70.40,203,0,1,normal,flame_test,baseline
2026-09-11T18:31:20.916,3542020,28.30,70.40,208,0,1,normal,flame_test,baseline
2026-09-11T18:31:23.400,3544529,28.30,70.10,151,0,1,normal,flame_test,baseline
2026-09-11T18:31:25.884,3547038,28.20,70.10,153,0,1,normal,flame_test,baseline
2026-09-11T18:31:28.368,3549547,28.20,70.40,259,0,1,normal,flame_test,baseline
2026-09-11T18:31:30.852,3552056,28.30,70.30,151,0,1,normal,flame_test,baseline
2026-09-11T18:31:33.337,3554565,28.30,70.40,206,0,1,normal,flame_test,baseline
2026-09-11T18:31:35.821,3557074,28.20,70.60,204,0,1,normal,flame_test,baseline
2026-09-11T18:31:38.305,3559583,28.20,70.80,194,0,1,normal,flame_test,baseline
2026-09-11T18:31:40.789,3562091,28.20,70.80,233,0,1,normal,flame_test,baseline
2026-09-11T18:31:43.273,3564600,28.20,70.70,218,0,1,normal,flame_test,baseline
2026-09-11T18:31:45.758,3567109,28.30,70.90,219,0,1,normal,flame_test,baseline
2026-09-11T18:31:48.242,3569618,28.20,70.90,217,0,1,critical,flame_test,event
2026-09-11T18:31:50.726,3572127,28.20,71.00,211,0,1,critical,flame_test,event
2026-09-11T18:31:53.210,3574636,28.30,70.70,191,0,1,critical,flame_test,event
2026-09-11T18:31:55.695,3577145,28.20,70.60,175,1,1,critical,flame_test,event
2026-09-11T18:31:58.179,3579654,28.30,70.50,228,1,1,critical,flame_test,event
2026-09-11T18:32:00.663,3582163,28.30,70.90,198,1,1,critical,flame_test,event
2026-09-11T18:32:03.147,3584671,28.40,70.50,191,1,1,critical,flame_test,event
2026-09-11T18:32:05.632,3587180,28.30,70.40,186,0,1,critical,flame_test,event
2026-09-11T18:32:08.116,3589689,28.40,70.50,197,0,1,critical,flame_test,event
2026-09-11T18:32:10.601,3592198,28.40,70.20,197,0,1,critical,flame_test,event
2026-09-11T18:32:13.069,3594707,28.40,70.10,193,0,1,critical,flame_test,recovery
2026-09-11T18:32:15.553,3597216,28.30,69.90,196,0,1,critical,flame_test,recovery
2026-09-11T18:32:18.037,3599725,28.30,70.00,208,0,1,critical,flame_test,recovery
2026-09-11T18:32:20.521,3602234,28.30,69.90,213,0,1,critical,flame_test,recovery
